GROUP,VOLT_FLAG,SURVEY_ID,SCORE,LTR_COMMENT,PRIMARY_REASON,MONTH,CONNECTION_TIME,SALES_PERSON_SAT,SALES_FRIENDLY_SAT,COMMINICATION_SAT,FIRST_BILL_SAT,AGENT_KNOWLEDGE,VOLT_FLAG_BINARY,TREATMENT_BINARY
control,,353729853,10,Great service good price,"General,Pricing,UK Legacy",2023-03-01,10,10,10,10,10,10,0,0
control,,353733071,10,Simple process with very helpful staff.,"Customer Service,General,UK Legacy",2023-03-01,10,8,10,10,10,9,0,0
control,,352933667,10,,,2023-03-01,10,10,8,10,10,10,0,0
control,,353189538,0,,,2023-03-01,0,3,8,0,10,0,0,0
control,,353911689,9,,,2023-03-01,9,8,,9,9,9,0,0
control,,353324522,0,There was zero success support to get the service activated .it is almost 2 days without data and don't how many days more to go,,2023-03-01,0,0,5,0,3,0,0,0
control,,353163458,10,,,2023-03-01,6,7,8,6,6,6,0,0
control,,354149583,3,Confirmation procedure is strange Robot detection is pathetic Minute pictures American dialect! I am 77 and failing consistently to pass this fantastic test,,2023-03-01,8,8,8,8,8,8,0,0
control,,353938017,8,"i am a new customer and my contract was cancelled without notifying me, only because box did not arrive that i called to see what was happening. had to wait another 3 days for box to arrive.",Contract,2023-03-01,10,5,10,10,10,4,0,0
control,,354251357,8,Just felt treated better than with sky,Brand,2023-03-01,8,8,8,8,8,8,0,0
control,,354213040,8,good customer service,"Customer Service,General,UK Legacy",2023-03-01,7,6,8,8,,8,0,0
control,,353666457,10,"Polite, efficient installation thank you. Everything I would expect from company.",General,2023-03-01,10,10,10,10,10,10,0,0
control,,353621037,8,Engineers helpful with someone not familiar with technology,"Customer Service,Technician",2023-03-01,8,8,6,9,,8,0,0
control,,353808557,10,,,2023-03-01,10,10,10,10,10,10,0,0
control,,354384837,9,,,2023-03-01,9,9,9,9,9,9,0,0
control,,354479027,9,Happy with the price but yet to experience services,"General,Pricing",2023-03-01,10,5,10,10,10,10,0,0
control,,354393939,7,Good service from engineer time will tell over standard of products,Technician,2023-03-01,10,10,10,10,10,10,0,0
control,,354261239,3,"I have been blitzed with over 12 calls from company media in a week. When I ring back; one time my account could not be found. Each time I call, nobody can find a log of who called or the reason for my call. I¬""m not impressed. If it continues I will possibly cancel my order. Enough is enough",,2023-03-01,3,4,0,3,5,3,0,0
control,,354184498,10,"Very professional, very kind and great customer service from the engineer","Customer Service,Technician",2023-03-01,8,8,8,8,8,8,0,0
control,,354176974,10,The engineer who came for the installation was phenomenal.,Technician,2023-03-01,10,10,10,10,10,10,0,0
control,,354235566,10,I phone company media on behalf of my cousin. He got broadband only. company media were very quick sending the box. We could not get it connected and company media sent an engineer the next day. Thank you company media.,"Brand,UK Legacy,Mobile Service,TV",2023-03-01,10,10,10,10,10,10,0,0
control,,354235466,3,I was offered a package by Gem including Netflix that I accepted over the phone. When the email came through there was no Netflix. Despite repeated phone calls to company I was told it could not be added. And texts to Gem's mobile number went unanswered. I had already given notice to Sky so am stuck with you with the installation tomorrow. Terrible service.,"Customer Service,General,UK Legacy,Brand,TV,TV/Video",2023-03-01,0,5,5,0,5,1,0,0
control,,354242895,8,"Polite, knowledgeable call staff. Explained everything really .",Customer Service,2023-03-01,10,5,9,10,10,9,0,0
control,,354436214,10,,,2023-04-01,10,10,10,10,10,10,0,0
control,,354385221,6,,,2023-04-01,6,5,5,6,6,5,0,0
control,,354459118,9,The process was pretty easy,,2023-04-01,8,9,8,8,9,8,0,0
control,,355214918,9,Very informative,,2023-04-01,10,,,10,10,9,0,0
control,,355526596,8,Relatively straightforward,General,2023-04-01,7,7,5,7,8,7,0,0
control,,355529557,10,Adviser was friendly and helpful.,"Customer Service,General,UK Legacy",2023-04-01,10,10,6,10,10,10,0,0
control,,355536525,10,"On the 13th March I ordered with Supanet, I contacted them again on the 3rd April to found out when I could expect my broadband, they had no answers, I immediately cancelled the order and contacted company sales, I spoke with a very helpful gentleman who informed me company would have me up and running in 2 days the 5th April, I immediately confirmed my order. Today is Wednesday 5th April I have received my parcel from company and my broadband is all connected, well done company, excellent service","Customer Service,General,Sales,UK Legacy",2023-04-01,10,10,10,10,10,10,0,0
control,,355656682,9,Angie explained it to me well,,2023-04-01,10,8,10,10,10,9,0,0
control,,355726212,10,"When I made my choice to have company supplied to my new home I was lucky enough to have Niccy on the phone I¬""m not a young person so sometimes one can get confused with technology, she explained everything in great detail she is a credit to your company and I thank her very much we have not received our kit as yet but I¬""m sure it¬""s on its way","General Services,Processes/Journeys",2023-04-01,10,5,10,10,10,10,0,0
control,,355797193,9,Easy setup call handler was very helpful,"Customer Service,Delivery and Installation,General,UK Legacy",2023-04-01,10,9,10,10,10,9,0,0
control,,355835437,10,Very friendly and knew what she was doing,Pricing,2023-04-01,10,10,10,10,10,10,0,0
control,,355117085,10,,,2023-04-01,8,8,8,8,8,8,0,0
control,,355841581,9,"Good service¬""s",General,2023-04-01,9,9,9,9,10,9,0,0
control,,355801754,9,,Customer Service,2023-04-01,10,,10,10,10,10,0,0
control,,355174348,10,,,2023-04-01,9,10,10,9,9,10,0,0
control,,356119378,10,First contact is so important when you are signing up for a new service. My signing up was felt with in a very friendly and professional way .,Customer Service,2023-04-01,10,10,10,10,10,10,0,0
control,,355550884,8,The broadband package is tempting and the customer service was excellent.,"Customer Service,General,UK Legacy",2023-04-01,8,5,9,8,7,6,0,0
control,,356199494,10,Very good,,2023-04-01,10,10,10,10,10,10,0,0
control,,355533599,8,,,2023-04-01,10,10,10,10,10,10,0,0
control,,355560737,0,,,2023-04-01,0,0,0,0,0,0,0,0
control,,355550007,9,,,2023-04-01,10,10,10,10,10,10,0,0
control,,355661212,10,,,2023-04-01,8,8,8,8,8,7,0,0
control,,356164280,8,The person who talked me through what was going to happen was very patient and talked me through all that wÃ¡s happening.,Customer Service,2023-04-01,10,,10,10,10,7,0,0
control,,356165962,6,Strange company,,2023-04-01,7,5,8,8,8,6,0,0
control,,356184528,10,"Helpful, pleasant, polite, made sure I understood the contract","Customer Service,General,UK Legacy",2023-04-01,10,10,10,10,10,10,0,0
control,,355651978,10,Very polite and professional people who sorted my package out for me,"General,Customer Service",2023-04-01,10,10,10,10,10,10,0,0
control,,356165696,0,My experience trying to cancel my contract in the 14day cool off was awful. The overseas call centre was very rude & unhelpful,"Contract,Contract CancellationCustomer Service,Customer Service,General,General Services,UK Legacy",2023-04-01,7,,,,,,0,0
control,,355797878,10,The engineer that attended my house was very friendly with great sense of humour,"Customer Service,Technician",2023-04-01,10,10,10,10,10,8,0,0
control,,356251212,9,"All good, but I never give 10 for anything.",,2023-04-01,9,5,9,9,9,8,0,0
control,,355896319,0,"Because you keep sending me emails even after I delete them because I don¬""t want to answer",,2023-04-01,0,0,0,0,0,0,0,0
control,,355795350,10,"Lady was so nice on the phone as I don¬""t know much about Internet",,2023-04-01,10,10,10,10,10,10,0,0
control,,355835577,10,The CS agent and engineer were superb. Installation was super quick. Great service.,"Customer Service,General,UK Legacy",2023-04-01,8,10,10,8,8,10,0,0
control,,355873171,10,installation man was very good,"Customer Service,Installation,Technician",2023-04-01,10,10,10,10,10,10,0,0
control,,356343057,9,Customer service was great and the engineer Lucas was brilliant credit to the companyðxÜðx_x0018_ðx¾,"Customer Service,Technician",2023-04-01,9,10,10,9,10,5,0,0
control,,356751702,10,Very polite and friendly,Customer Service,2023-04-01,10,10,10,10,10,10,0,0
control,,356130501,0,"Poor customer service!!!!!!! I¬""ve been told twice I¬""d get a call back but nothing has happened. Your website says all sky channels in HD?? Sky sports is not¬¦very misleading for customers.","Brand,Customer Service,General,TV,TV/Video,UK Legacy",2023-04-01,3,8,5,4,4,3,0,0
control,,356797007,9,I had a very competent representative guide me through joining companyia media.,"Customer Service,General,UK Legacy",2023-04-01,10,8,8,10,10,9,0,0
control,,356205639,10,,,2023-04-01,7,0,5,8,7,8,0,0
control,,356282530,10,Excellent service and politeness,General,2023-04-01,10,10,10,10,10,10,0,0
control,,356874381,10,Good friendly service quick and easy,General,2023-04-01,10,10,10,10,10,10,0,0
control,,356897113,9,Excellent service offed by the front desk,"Deepdive,Internet,Internet Service,UK Legacy,General",2023-04-01,10,10,10,9,10,9,0,0
control,,356980518,10,Very helpful and positive response when I rang to set up broadband - thank you.,,2023-04-01,10,8,9,10,10,8,0,0
control,,356373892,10,Very friendly and knowledgeable,,2023-04-01,10,10,10,10,10,10,0,0
control,,356333330,1,To much pressure to Join so I cancelled,,2023-04-01,0,,,0,0,0,0,0
control,,357029874,10,Jake the representative for company was simply above and beyond helpful and done everything for me with ease,"Customer Service,General,UK Legacy",2023-04-01,10,10,10,10,10,10,0,0
control,,357082450,8,Good customer service,"Customer Service,General,UK Legacy",2023-04-01,8,8,8,8,8,8,0,0
control,,357412566,10,Very fast and very good,,2023-04-01,10,10,10,10,10,10,0,0
control,,357405561,2,Cut my Internet off . Asked for router to be sent after 5.00 tracker shows between 10 and 12,"Equipment,Internet,Internet Service,UK Legacy",2023-04-01,7,5,5,6,5,3,0,0
control,,356757618,10,"He is very helpful, friendly, intelligent, skilful and nice gentleman","General,Internet,Internet Service,Reliability GeneralUK Legacy,Customer Service,UK Legacy",2023-04-01,10,10,10,10,10,10,0,0
control,,357540021,5,Na,,2023-04-01,10,1,5,10,10,5,0,0
control,,356951636,0,"You keep sending me messages for a completely different person, you tell me my equipment has been delivered, NO it hasn¬""t, the emails have the totally wrong price on them so am NOT impressed at all, so where we go from here I don¬""t know","General,Pricing",2023-04-01,5,0,0,5,5,5,0,0
control,,357708277,10,,,2023-04-01,10,10,10,10,10,10,0,0
control,,357033467,10,"Excellent service from the get go, the gent I spoke to on the phone, and the guy who did the installation were superb. I can¬""t remember their name though.",,2023-04-01,10,10,10,10,10,10,0,0
control,,357093509,9,,,2023-04-01,9,9,5,9,8,10,0,0
control,,357710924,0,"Ordered Thursday 20th April and was sent a confirmation for delivery Monday 24th. Delivery was late so I called up on Friday 28th, and was informed that my order had not gone through. Had to order again over the phone, with another credit check, and soonest delivery Tuesday 2nd May.",Delivery and Installation,2023-04-01,7,0,10,8,8,10,0,0
control,,357750035,9,,,2023-05-01,10,10,10,10,10,9,0,0
control,,357391798,10,,,2023-05-01,10,10,10,10,10,10,0,0
control,,357667220,10,Very adaptable and patient/ helpful,,2023-05-01,10,10,9,10,10,9,0,0
control,,357413787,7,"The agent was very polite and helpful, but I am wondering why he hasn't sent me the contract papers with the details as he promised. I also like to remind him of one month free plus six months £15.00","Customer Service,Pricing,Reliability GeneralCustomer Service,General,UK Legacy",2023-05-01,9,10,10,9,9,8,0,0
control,,357513038,10,Really really helpful,,2023-05-01,10,10,10,10,10,10,0,0
control,,358259156,10,Customer service was excellent,"Alert,General,Internet Service,UK Legacy,Customer Service",2023-05-01,10,10,10,10,10,10,0,0
control,,358163081,9,All requirements were met with courtesy and helpfulness and promptness. I was informed of all I needed to know.,,2023-05-01,9,,9,9,9,9,0,0
control,,357640188,10,Agent was very helpful in setting me up with the new broadband a true gent,"Customer Service,General,UK Legacy",2023-05-01,10,10,10,10,10,10,0,0
control,,358269933,10,Very friendly staff and accommodating,Customer Service,2023-05-01,9,10,5,9,9,9,0,0
control,,357692812,0,Awful !!,,2023-05-01,9,0,0,9,9,5,0,0
control,,357710702,5,,,2023-05-01,5,6,6,5,7,4,0,0
control,,358305986,10,The gentleman jack kindly got me a good priced package and explained everything well.,"General,Pricing,UK Legacy",2023-05-01,,10,10,,,,0,0
control,,357759944,7,"Is a good service but trying to get to talk to a human person is really hhard , the people you use do not use very good english therefore were not easy to communicate with","Automated Phone System,Customer Service,General",2023-05-01,8,4,8,7,9,7,0,0
control,,357761521,0,The router did not cover the whole of the house so computer at back of house ran very slow. Also would need to keep answer phone and hive hub in front room - not good. When I rang to cancel I was told there was at least a 7 day delay that I was going to have to pay for - even though I was cancelling the very next day after activation the service. I was also told there was a high connection charge - which was not the case for when I registered for the service I was told there would be no connection charge. When this was pointed out the telephone operator checked and agreed there was no connection charge but I would be paying for the service for the next seven days at least. I am not happy about this - I used the service for two days at most - the day it was activated and the day it was cancelled. (wed 3rd May and Thursday 4th May) and I didn't even connect up the TV or use the company tv box.,"Mobile Service,Reliability GeneralAlert,Equipment,General,Internet,Internet Service,Reliability GeneralUK Legacy,UK Legacy",2023-05-01,6,2,0,7,10,1,0,0
control,,358518262,4,Long installation times and misleading text messages from you.,,2023-05-01,3,3,10,3,3,3,0,0
control,,357435535,9,,,2023-05-01,8,8,8,8,8,8,0,0
control,,357757396,8,"Easy process although did have to go through the same questions a few times and original contact never got in touch when he said he would. Hopefully, once installed, it will be a great experience.",,2023-05-01,8,9,9,9,9,9,0,0
control,,358670266,9,Best broadband,"Deepdive,General",2023-05-01,10,10,10,10,10,9,0,0
control,,358178086,1,,,2023-05-01,2,0,0,1,1,2,0,0
control,,358752585,10,Good internet connection,General,2023-05-01,10,10,10,10,10,10,0,0
control,,358845220,10,Agent was very helpful from start to finish and made sure we got the right package for us at the best price.,"Customer Service,General,Pricing,UK Legacy",2023-05-01,10,10,10,10,10,10,0,0
control,,358251091,3,"Poor customer care, told to wait in for an engineer so did so all day and nobody arrived and no call to tell me this was going to happen.","Customer Service,General,Technician,UK Legacy",2023-05-01,10,5,7,10,10,9,0,0
control,,358257835,10,"Agent that came was very polite and helpful, although I told them on phone I had no boxes or wires in the house for a quick set up, he wasn't allocated enough time, he stayed and solved the problem and explained how everything worked.","Customer Service,Technician",2023-05-01,10,10,10,10,10,10,0,0
control,,358268688,0,"Your customer service is awful and you really need to ditch the overseas call centers. Kindness and understanding in the voice go a long way. You can feel the contempt in operator voices (sniggering and laughing when you say you cannot understnd what they are saying - feels intentional) and cannot quite get all of the words due to very strong accents. Your only saving grace is the physical connection and stability of that. Thankfully, because connection quality is good I rarely (if ever - Thank Goodness) have to contact your call centers. Would not touch with a barge pole otherwise. Take a look at Now Broadband whos operators are absolutely marvellous. Lessons learned or brushed under the carpet? Haha","Customer Service,General,Reliability GeneralUK Legacy",2023-05-01,1,9,0,1,2,1,0,0
control,,358950053,10,Very polite engineer who consulted every step and very patient,"Customer Service,Processes/Journeys,Reliability GeneralTechnician,Technician",2023-05-01,10,10,10,10,10,10,0,0
control,,358893205,10,,,2023-05-01,10,5,3,10,10,10,0,0
control,,358869083,8,Very helpful and informant,"TV,TV/Video",2023-05-01,9,,7,9,9,8,0,0
control,,358369084,10,,,2023-05-01,10,10,10,10,10,10,0,0
control,,358785303,10,Polite and helpful phone staff that reached out and made an extra effort to call me back and help me move my Internet address when I hadn't even requested. They knew to reach out because of me searching the post code of the next address via company media website. They went out of their way to help me change account details as well and was very kind.,"Customer Service,General,General Services,UK Legacy",2023-05-01,10,10,10,10,10,10,0,0
control,,358743765,0,,,2023-05-01,0,0,0,0,0,0,0,0
control,,359195523,10,"The colleague who called me was very polite, professional and efficient. I would recommend company to anyone if I knew he was the one setting them up.",Customer Service,2023-05-01,10,5,5,10,10,8,0,0
control,,359217669,10,,,2023-05-01,10,10,10,10,10,10,0,0
control,,359215551,10,"Lady rang me when promised,helpful & friendly","Deepdive,General,Internet,Internet Service,UK Legacy,Customer Service",2023-05-01,10,10,10,10,10,10,0,0
control,,359199212,9,,,2023-05-01,10,10,10,10,10,7,0,0
control,,359227723,0,"I have had to call company everyday. 15/05/23 spoke to at least 10 different people in 10 different departments. Each time having to re-explain the situation, one member said yes they can activate internet but in a different department, got to that department they said it couldn't be done... No manager was available to talk to. I have been told activation will happen on 3 different dates due to companys delays. This has caused me to loose wages from work as I work from home and rely on the internet to work. My son is disabled and uses the internet to communicate, so has had 3 days of non communication so far. I am speaking to other suppliers and will be cancelling with company within my 30day cooling off period. I will not under any circumstances recommend company and I will be publishing my experience on social media. You need to get your departments organised, leadership needs to be held accountable and staff clearly need more adequate training.","Brand,Customer Service,Deepdive,General Service,Internet,Internet Service,Test,UK Legacy",2023-05-01,0,0,0,0,0,0,0,0
control,,359361583,10,"Everything was made extremely clear. The agent I dealt with was polite and friendly and when promised a call back, actually did so as planned.",Customer Service,2023-05-01,10,10,10,10,10,10,0,0
control,,359402193,10,Very helpful agent clearly stated everything I needed to know and took me through the whole process in a polite and professional manner stating when the service would start and when to expect my equipment.,"Customer Service,Installation,General,UK Legacy",2023-05-01,10,9,8,10,10,9,0,0
control,,359396338,10,,,2023-05-01,10,10,10,10,10,10,0,0
control,,358892501,10,Very polite and helpful when I got to speak to somebody,Customer Service,2023-05-01,10,6,5,10,10,10,0,0
control,,358952162,8,,,2023-05-01,7,7,7,7,7,7,0,0
control,,359547396,10,"The customer service is Excellent from when i was a customer, thats why i left but now i'm crawling back haha","Deepdive,Reliability GeneralCustomer Service,Customer Service,General,UK Legacy",2023-05-01,10,10,10,10,10,10,0,0
control,,359476311,10,Coz Davie was lovely. Great salesman¬¦ local to me¬¦ I just hope you can maintain the excellent customer service that was given to me during our call. As a previous customer of company¬¦ then¬¦ the customer service was absolutely pants!,"Customer Service,General,Sales,UK Legacy",2023-05-01,10,5,10,10,10,10,0,0
control,,359530209,10,"Great value for money and friendly helpful customer service, not had installation yet so can¬""t comment on much, so far so good","Customer Service,General,Pricing,UK Legacy",2023-05-01,10,5,10,10,10,10,0,0
control,,358931638,10,"Customer service excellent,polite and extremely helpful .","Customer Service,General,UK Legacy",2023-05-01,10,10,10,10,10,10,0,0
control,,359811913,10,"Angie's customer service was excellent -- he took me through all my options in a clear and comprehensive way, made sure things got sorted really quickly, and was super friendly to talk to.","Customer Service,General,UK Legacy",2023-05-01,10,10,10,10,10,10,0,0
control,,359303431,10,The technician was excellent,Technician,2023-05-01,6,4,6,4,7,10,0,0
control,,359400681,10,Excellent service,General,2023-05-01,10,10,10,10,10,10,0,0
control,,359205273,10,It was a quick and easy set up,"Brand,UK Legacy,Delivery and Installation",2023-05-01,10,10,10,10,10,10,0,0
control,,359885527,10,Good customer service,"Customer Service,General,UK Legacy",2023-05-01,8,10,7,10,10,6,0,0
control,,359997714,9,,,2023-05-01,10,10,10,10,10,10,0,0
control,,360144627,10,,,2023-05-01,10,10,10,10,10,10,0,0
control,,360128593,10,"Good customer service, polite Staff","Customer Service,General,UK Legacy",2023-05-01,10,10,10,10,10,10,0,0
control,,360038130,10,"Your lady who helped me, her name was Clara, was absolutely wonder. She explained everything to me, and was a delight to speak to.please thank her for me, and tell her I enjoyed our chat.","Brand,Pricing,Customer Service,General,UK Legacy",2023-05-01,10,8,8,10,10,10,0,0
control,,359543300,10,"The experience is really good. The price can be a bit expensive. But I have had good experience with company media so far. The engineer, who came to my address was very professional and friendly. And did a really good job running the wires nice and tidy. Exactly how I wanted.","Customer Service,General,Technician,UK Legacy,Pricing",2023-05-01,9,9,8,9,8,8,0,0
control,,359597175,10,Good service,General,2023-05-01,10,10,10,10,10,10,0,0
control,,360001021,10,"Mat was incredibly helpful and friendly made me feel at ease while I was trying to decide where I was going to go but with no pressure just laid out facts and remained friendly. I called to have an engineer come out and spoke with Cary who was also incredibly helpful booked me someone within a day and he was very polite and talkative. Finally Si came out with a colleague whos name i was unable to get to install they were both great made the process very easy for me to understand the process and even helped me with a cable that I didn't know was damaged. Start to end process has been excellent, special thank you to all who helped.","Customer Service,General,Technician,UK Legacy",2023-05-01,10,10,10,10,10,10,0,0
control,,359817026,7,,,2023-05-01,10,8,9,10,10,8,0,0
control,,359733535,10,"The best technician I've ever met. He was very professional and gentle person. He had a calm and cool personality. Even though there was a delay in opening the door to him, he waited patiently and was cool with it. Overall the installation went fast and perfectly. Thank you for providing with professionals with good character rather than other providers. That is one point right on the sheets.","Brand,Customer Service,Technician,UK Legacy",2023-05-01,10,10,8,10,10,10,0,0
control,,359763785,10,"The engineer that came to help with the installation, Abbie, went above and beyond to understand how I wanted the setup and make sure everything was done properly. Very happy with his service.","Installation,Technician",2023-05-01,8,8,6,8,8,8,0,0
control,,359908997,9,THE REASON IS BECAUSE FOLLOWING MY JOINING company THE SUBSEQUENT VERY NEXT DAY THE company TEAM FITTED EQUIPMENT OUTSIDE MY COTTAGE HERE IN NEWTONGRANGE THANKYOU VERY MUCH FOR YOUR VERY PROMT SERVICE ONLY ONE SMALL COMPLAINT HAVING DIFFICULTY IN OBTAINING DUE FINANCIAL REWARD YOURS SINCERELY,"Customer Service,Processes/Journeys",2023-06-01,8,10,10,8,10,8,0,0
control,,359916121,10,"super quick, responsive and helpful. Great customer service, thank-you!","Customer Service,General,UK Legacy",2023-06-01,10,10,10,10,10,10,0,0
control,,360179117,10,"It's speed is awesome, there is no shut down. Customer services are excellent and staff is highly cooperative.","Customer Service,Deepdive,Internet",2023-06-01,10,10,10,10,10,10,0,0
control,,360805510,10,"Efficient, courteous staff. Good service and prices. Glad to be on board. John.","Customer Service,General,Pricing,UK Legacy",2023-06-01,10,10,10,10,10,10,0,0
control,,360829926,9,Easy set up and good price,"Alert,Customer Service,Delivery and Installation,General,Internet Service,UK Legacy,Pricing",2023-06-01,10,10,9,10,10,9,0,0
control,,360856024,10,Very fast Internet,"Customer Service,General,UK Legacy,Deepdive,Internet,Internet Service",2023-06-01,10,9,10,10,10,6,0,0
control,,360712563,9,,,2023-06-01,10,5,10,10,10,10,0,0
control,,360711840,0,I cant get my box to work,"TV,UK Legacy",2023-06-01,10,0,10,10,10,10,0,0
control,,360879207,10,Very helpful and efficient service and competitive broadband TV package,"Customer Service,General,UK Legacy",2023-06-01,10,10,10,10,10,10,0,0
control,,361233556,10,"Very good customer service from Agent and she found us a really good deal, a lot better than we was getting from sky","Brand,Customer Service,General,UK Legacy",2023-06-01,10,10,10,10,10,10,0,0
control,,361238644,10,The reson is your one emplyee Rosie She helped me by going extra mile over the phone this ranking is only for that lady as for you online sale department their performance is not good,Sales,2023-06-01,10,7,10,10,10,8,0,0
pilot,,352217961,9,,,2023-03-01,10,8,10,9,9,9,0,1
pilot,,351710544,7,,,2023-03-01,7,7,7,7,7,8,0,1
pilot,,351741477,10,,,2023-03-01,9,7,5,9,10,7,0,1
pilot,,351803343,10,"The young man who visited and set the Internet up was respectful, informative and knowledgeable.","Customer Service,Technician",2023-03-01,10,10,10,10,10,10,0,1
pilot,,352228207,0,"My internet isn¬""t working your team are pushy and despite having put in account details to talk to someone on the phone you have to repeat them. It¬""s a frustrating and soul destroying experience","Deepdive,Internet,Internet Service,Reliability GeneralTest,UK Legacy",2023-03-01,0,0,2,0,0,0,0,1
pilot,,352466185,8,,,2023-03-01,10,5,8,10,10,8,0,1
pilot,,352488800,7,Haven't gave it a 10 because when I was setting up the TV and Broadband package with one of your employer's on your team they was going through the payments and bundle I was having and tried to charge me a set up fee when I new it was free could say it was just a mistake but if I didn't have my wit's about me and pointed out it was free of charge he would of charged me on my bill I let him check it out for himself but was put right and we moved on and carried out the deal I had Infront of me apart from that he was helpful .,Delivery and Installation,2023-03-01,5,,10,3,8,7,0,1
pilot,,352538490,7,The lady I spoke to was very helpful.,,2023-03-01,8,7,8,8,8,7,0,1
pilot,,352428094,10,,,2023-03-01,10,8,10,10,10,10,0,1
pilot,,352590164,7,,,2023-03-01,9,9,9,9,9,9,0,1
pilot,,352594108,9,"Good customer service. Adam was knowledgeable, helpful and swift in processing the order. The order itself arrived the next day !!!, Amazing and was seamlessly installed and is up and running nicely making a huge difference to the internet speed. Thank you for the great service and hope this is maintained at this level throughout our engaggement.","Customer Service,General,Internet,Internet Service,Processes/Journeys,UK Legacy",2023-03-01,9,9,9,9,9,9,0,1
pilot,,352854408,10,,General,2023-03-01,10,10,10,10,10,10,0,1
pilot,,352889717,10,The man we talked to was very help full,"General,Pricing,Customer Service,Technician,UK Legacy",2023-03-01,10,10,10,10,10,10,0,1
