GROUP,VOLT_FLAG,SURVEY_ID,SCORE,LTR_COMMENT,PRIMARY_REASON,MONTH,CONNECTION_TIME,SALES_PERSON_SAT,SALES_FRIENDLY_SAT,COMMINICATION_SAT,FIRST_BILL_SAT,AGENT_KNOWLEDGE,VOLT_FLAG_BINARY,TREATMENT_BINARY
control,yes,355073552,8,after receiving my order company have been very efficient in preparing for Broadband installation.,"Brand,General,Internet,Internet Service,UK Legacy",2023-04-01,9,9,8,9,9,9,1,0
control,yes,355538234,0,"You wouldn¬""t not let be add my referral link after set up",,2023-04-01,0,0,0,0,0,0,1,0
control,yes,355726755,3,"After registering for the Volt M250 Broadband plus 02 sim I received a pre contract CSS with the correct details, then a message that said: 'You bought: M50 plus landline.' It took an hour on the phone to customer services to correct this. But the last message I got said 'Let's lock this in' and although the attached CSS contract has the correct M250 entry it is different from my pre contract CSS as it has a £30 fee added that shouldn't be there, it does not have the Wi-Fi hub listed under Broadband services, and it is missing the details of what minimum speeds to expect, etc. I contacted customer services again and asked them to rectify these errors and send me the amended contract. I got a message that my first bill will be £39.98, but I am still waiting for the amended contract.","Alert,Delivery and Installation,Equipment,General,Internet,Internet Service,UK Legacy",2023-04-01,,,,,,7,1,0
control,yes,355795167,10,Am happy with everythin,,2023-04-01,,10,10,10,10,10,1,0
control,yes,355828120,0,"The agent who set up my account ,said she would give us £150 and free Netflix , she never did , I was on the telephone for 6 hours to 12 different agents to try to resolve the new account and to receive what the agent said she would give us for signing up to a new contract. It is beyond comprehension how some of your staff can be fundamentally dishonest. After the 6 hours and speaking to 12 different people who to be honest had not a clue what I was talking about , I finally got through to a agent called Cory who eventually tried to sort the total mess out . Very very disappointed,I was with sky for 12 years and had no problems ,but I wanted to leave because of cost . Then the same day someone appeared at my door and said where would you like us to put the cable ,I was unaware anyone was coming to put in a cable .Communication between your agents and customers is total unacceptable .","Customer Service,Automated Phone System,Brand,Contract,TV,TV/Video,UK Legacy",2023-04-01,0,1,0,1,2,1,1,0
control,yes,355915529,10,,,2023-04-01,10,10,10,10,10,10,1,0
control,yes,355948905,8,I've only just ordered my package from company and it won't be up and running until the 22nd April. I need to see how good it is before I can give top marks.,"Brand,General,Pricing",2023-04-01,10,5,10,10,10,8,1,0
control,yes,355209829,9,Everyone was extremely helpful,,2023-04-01,10,8,9,10,10,10,1,0
control,yes,355211280,8,,"General,Pricing,UK Legacy",2023-04-01,8,10,6,8,10,8,1,0
control,yes,355479956,8,,,2023-04-01,9,8,8,8,8,9,1,0
control,yes,355088840,10,This is due to the outstanding customer service shown by a company rep called Clara who delivered a customer satisfaction master class. I will be sending an email of praise in the coming days about her.,"Alert,Customer Service,Equipment,General,Installation,Internet Service,UK Legacy",2023-04-01,10,10,8,10,10,10,1,0
control,yes,355467823,8,good response,,2023-04-01,8,,8,8,8,8,1,0
control,yes,355693270,10,Very hardworking and punctual quits who carried out the work,,2023-04-01,10,10,10,10,10,10,1,0
control,yes,356198235,0,I've not agreed to any of this yet I'm bombarded with emails that you cannot reply to and setting up direct debits without my knowledge,"Billing,Sales",2023-04-01,0,0,0,0,0,0,1,0
control,yes,356336823,0,"I want to cancel but you don¬""t allow me to.",,2023-04-01,0,0,0,0,0,0,1,0
control,yes,356374621,8,A good range of products at affordable prices,"General,Mobile,Mobile Service,Pricing,UK Legacy",2023-04-01,4,9,10,8,9,5,1,0
control,yes,355832015,7,Rep talked far to quickly for us to take everything in so we had to keep stopping him but we got there in the end.,,2023-04-01,7,,3,10,10,8,1,0
control,yes,355838576,10,Good communication and easy for me to solve my net problem. Very helpful attitude.,Deepdive,2023-04-01,10,9,9,10,9,9,1,0
control,yes,356051966,9,Very helpful customer service - Rosie was a total star - and easy-to-install setup,"Customer Service,General,UK Legacy",2023-04-01,10,9,10,10,10,10,1,0
control,yes,356454891,10,"I called to join as a new customer while moving to a new property which I was in the process if buying. I spoke to Marco ] who was extremely useful. He assisted first with selecting a package, followed then by contacting my seller to prompt to let company know about switching off their service at that property. I called back when confirmed with the seller exchange dates a week or so later using Mark's number provided. Mark remembered my conversation from a week ago, despite speaking to many people in the time between. Once again Mark provided absolute pristine customer service, and without Mark's assistance on the first call you never know whether I would have continued with company or looked for other options. Thank you!","Customer Service,General,General Services,UK Legacy",2023-04-01,10,10,10,10,10,10,1,0
control,yes,356172894,10,good lady on the phone today .,,2023-04-01,10,10,10,10,10,5,1,0
control,yes,356199868,10,,,2023-04-01,10,10,10,10,10,10,1,0
control,yes,356185923,2,Although the initial inquiry was very smooth problems have arisen and are ongoing,,2023-04-01,8,0,4,8,8,3,1,0
control,yes,356357369,10,The guy that came to install company media at my home was very pleasant and helpful I would recommend company media to my friends and family,"Alert,General,Internet Service,UK Legacy",2023-04-01,10,10,10,10,10,10,1,0
control,yes,356951019,10,Good value reasonable prices,"General,Pricing,UK Legacy",2023-04-01,10,10,10,10,10,10,1,0
control,yes,356753144,10,"You keep sending me messages for a completely different person, you tell me my equipment has been delivered, NO it hasn¬""t, the emails have the totally wrong price on them so am NOT impressed at all, so where we go from here I don¬""t know",,2023-04-01,10,10,10,10,10,10,1,0
control,yes,356723398,10,Very efficient and Friendly Service,General,2023-04-01,10,10,10,10,10,10,1,0
control,yes,356270219,9,I've been happy with the service from employees both on the telephone and the engineer who installed the equipment and it seems I'm getting more for my money.,"General,Pricing,UK Legacy,Technician",2023-04-01,10,10,10,10,10,10,1,0
control,yes,356824713,10,Very help full got a great deal can't wait to install the broadband,"Customer Service,General,UK Legacy",2023-04-01,10,,10,10,10,10,1,0
control,yes,357597705,10,"Excellent advice in your contact centre, Very prompt contact from your installation agents (the day after our order was placed).",,2023-04-01,10,10,7,10,10,7,1,0
control,yes,357562711,10,"Niccy, who answered this number Was absolutely brilliant, helped in every single way she possibly could and resolved the issues I was facing with regards to installation. Please can you make sure that she is aptly rewarded for her service as it was impeccable!",,2023-04-01,10,10,8,10,10,10,1,0
control,yes,356960259,3,"Ever since signing up its been nothing but a pain trying to sort out the sim card. company didnt seem to understand how i get seamlessly from my existing 02 sim card to the new one i signed up for, having to make up new email adresses and things. Got sent 2 sim cards which was wrong, then it was an ordeal trying to get company to understand the sutuation and they didnt know how to sort it out, i was to be charged for 2 and thats it. The person i spoke to even had the audacity to try and sell me a big multi sim card deal!! I only want one, the one i signed up for, not the 2 i was sent or any more on top of it. Eventually spoke to 02 and they were sound",,2023-04-01,8,8,8,8,8,8,1,0
control,yes,358075875,10,Helpful,,2023-05-01,10,,,10,10,10,1,0
control,yes,358156447,6,"I am impressed by the tv and broadband deal. But I was promised 10g of data with 02 and I only have 5. I was also told that there would be no hard searches on my credit record and that wasn¬""t true either.","General,TV/Video,TV/Video Service",2023-05-01,3,5,7,3,8,7,1,0
control,yes,358077107,9,"Good price it¬""s the only reason I guess after the 18 months when you want to charge me more is when I shall go back to sky It¬""s mad but has to be done","General,Pricing,UK Legacy,Brand",2023-05-01,10,9,10,10,10,10,1,0
control,yes,357635884,10,,,2023-05-01,10,10,10,10,10,10,1,0
control,yes,358289422,10,Very pleased with detailed information and quick and efficient service.,General,2023-05-01,10,9,10,10,10,10,1,0
control,yes,358262826,10,Price better than sky Better broadband speed Easy transition Agent was a great sales assistant . Instalation date quick. Happy with service. Looking forward to my company package.,"Brand,General,Internet,Internet Service,Pricing,UK Legacy",2023-05-01,10,10,10,10,10,10,1,0
control,yes,357694861,8,,,2023-05-01,7,9,9,9,9,8,1,0
control,yes,357709156,7,"Package looks competitive but I opted to support company representative and missed out on voucher offer of £160 - which isn¬""t good. Also my referrer is struggling to access account as their password reset isn¬""t working.","Customer Service,General,Pricing,UK Legacy",2023-05-01,9,7,8,8,9,9,1,0
control,yes,358520979,10,,,2023-05-01,10,10,10,10,10,10,1,0
control,yes,357693303,8,,,2023-05-01,10,,9,10,10,10,1,0
control,yes,358098428,10,"They are helpful, reliable and stick to their work. The man who answered my request was caring and efficient. I will say more once my WiFi is installed but that will not be for another 2 weeks. I have used company Media for over 8 years!","Alert,Customer Service,General,Internet Service,Reliability GeneralTechnician,Technician,UK Legacy",2023-05-01,10,10,,10,10,10,1,0
control,yes,358193050,9,,"Customer Service,Technician",2023-05-01,9,9,9,9,9,9,1,0
control,yes,358767346,10,Good service much cheaper than sky,"Brand,General,Pricing",2023-05-01,10,10,10,10,10,10,1,0
control,yes,358845775,10,,,2023-05-01,10,10,10,10,10,10,1,0
control,yes,358173872,7,not easy to speak to any one if you have a problem,,2023-05-01,7,5,7,7,9,5,1,0
control,yes,358313201,5,,,2023-05-01,5,7,7,5,7,5,1,0
control,yes,358410445,10,"The Engineer that visited to install the cable was exceptionally good, personable, a very good communicator, and most importantly didn't stop the installation when faced with obstructions, but rather, he overcame the obstructions to ensure the installation was completed. To elaborate, there was a hedge against the wall where the cable had to come through, most modern day engineers would stop the job at that point and cite the hedge as an obstruction, but not Stevie, he got in to the hedge to ensure the job got done. I was really impressed.",Technician,2023-05-01,10,10,10,10,10,10,1,0
control,yes,359008730,10,Fantastic customer experience,"Customer Service,General,UK Legacy",2023-05-01,10,10,10,10,10,10,1,0
control,yes,358583530,10,Quick and prompt friendly service,General,2023-05-01,10,10,10,10,10,10,1,0
control,yes,359318270,10,James was very helpful and help me get the best package for the family. Can't wait for the 31st May for full installation only wish it was sooner.,"Customer Service,General,UK Legacy",2023-05-01,10,10,10,10,10,10,1,0
control,yes,359309793,9,"The service was fabulous,",Customer Service,2023-05-01,8,10,10,9,9,9,1,0
control,yes,359471734,6,"I have found that the service so far has been very good. However in my research, once services are in the evaluation of company customer service responding to issues is quite poor. This worries me so will reserve judgement.",Customer Service,2023-05-01,10,10,7,10,10,8,1,0
control,yes,359510690,9,Because a man who spoke with me was so polite and helpful,"Internet,Internet Service,UK Legacy,Customer Service,Technician",2023-05-01,9,5,5,9,8,8,1,0
control,yes,359547230,10,Fantastic customer service!,"Customer Service,General,Pricing,UK Legacy",2023-05-01,10,10,10,10,10,10,1,0
control,yes,358748800,8,Friendly & patient staff there to assist. Always kept informed of what was going on at all times. Great service.,"Customer Service,General",2023-05-01,10,5,7,10,10,7,1,0
control,yes,359755096,10,,,2023-05-01,10,10,10,10,10,10,1,0
control,yes,359161024,10,I have been a customer for over 20 years and have always had a very good service from you.,"Brand,UK Legacy",2023-05-01,10,10,10,10,10,10,1,0
control,yes,359756864,10,"Representative very helpful, gave good advice, understood my needs","Brand,Customer Service,General,Pricing,UK Legacy",2023-05-01,10,10,10,10,10,10,1,0
control,yes,359438112,3,Was called when out - took items did not need tried to cancel part - poor reduction after removing item - went to cancel could not understand call handler had to ask to repeat what she said back to her . Still not cancelled - hope to get a British native speaker next time.,Customer Service,2023-05-01,8,,5,8,8,4,1,0
control,yes,359968081,10,,,2023-05-01,10,10,10,10,10,10,1,0
control,yes,360345797,9,The person i spoke to was extremely helpful and informative. The package i purchased was an improvement on the deal i was getting from another provider,,2023-05-01,9,9,9,9,10,9,1,0
control,yes,360539806,10,Ellie was very nice and easygoing funny too,"General,Pricing,Customer Service",2023-05-01,10,10,10,10,10,8,1,0
control,yes,360632252,10,"They were proactive and called me, as I had added to the Basket. Saved me a call. The next day I filled in the request for information outside our house for cabling. The contractor arrived a few hours later to fit the cable. Unbelievable service.","Customer Service,General,UK Legacy",2023-05-01,10,5,10,10,8,10,1,0
control,yes,359923481,10,Friendly and quick service .,"General,Pricing,UK Legacy",2023-05-01,10,10,10,10,10,10,1,0
control,yes,359878029,9,,,2023-06-01,9,8,8,8,8,9,1,0
control,yes,359886684,9,Friendly helpful,"Customer Service,General,UK Legacy",2023-06-01,9,,9,9,10,9,1,0
control,yes,360728017,8,Angie was extremely helpful and helped me choose the right package for my needs (we think),"Customer Service,General,UK Legacy",2023-06-01,9,9,8,9,9,9,1,0
control,yes,359988152,9,Great service and sales consultant..great deal offered,General,2023-06-01,9,9,9,9,9,9,1,0
control,yes,360761752,10,,,2023-06-01,10,10,10,10,10,10,1,0
control,yes,360199204,0,"terrible customer service, a week later and my WIFI still isn't set up and nobody has contacted me since they said it would be sorted within 24 hrs and someone would call me","Alert,General,Internet Service,UK Legacy",2023-06-01,0,0,5,0,0,0,1,0
control,yes,359947966,0,,,2023-06-01,,0,,,,,1,0
pilot,yes,352299145,10,,"Customer Service,General,UK Legacy",2023-03-01,10,,10,10,10,10,1,1
pilot,yes,351717614,8,,,2023-03-01,8,8,8,8,8,7,1,1
pilot,yes,351645277,7,Prompt service,"General Services,Internet,Pricing",2023-03-01,7,7,6,7,7,7,1,1
pilot,yes,352218312,5,,,2023-03-01,8,8,8,8,8,8,1,1
pilot,yes,351894468,10,,,2023-03-01,10,10,10,10,10,10,1,1
pilot,yes,351860335,10,Good service,General,2023-03-01,9,9,9,9,9,9,1,1
pilot,yes,351913908,10,,,2023-03-01,10,10,10,10,10,10,1,1
pilot,yes,351853682,9,,,2023-03-01,6,9,3,6,6,7,1,1
pilot,yes,351918164,10,,,2023-03-01,10,10,10,10,10,10,1,1
pilot,yes,351882363,10,Affordable price and broadband speed,"Customer Service,General,UK Legacy,Internet,Internet Service,Pricing",2023-03-01,10,10,10,9,10,9,1,1
pilot,yes,352868263,10,The service is superp I really appreciate the turnaround as well as the constant updates regarding progress. company Media team is so friendly and willing to assist. I will recommend company Media to my friends.,Customer Service,2023-03-01,10,10,10,10,10,10,1,1
pilot,yes,352320117,9,The technician by name Shabir did a perfect work. He is nice and company network is wonderful,Technician,2023-03-01,9,10,9,9,9,10,1,1
pilot,yes,35296company17,2,Your sales team sent me the wrong details in my contract. Wasted to hours trying to get it sorted. Still not sorted!,Sales,2023-03-01,0,5,5,1,2,5,1,1
pilot,yes,352858609,10,"Adam clearly knew your products, it was clear he wasn¬""t trying to oversell and he was offering the best product available for my family¬""s needs. All dealt with very swiftly and clearly explained the process",,2023-03-01,10,5,10,10,10,10,1,1
pilot,yes,352941130,10,I got a good offer with company than sky,"Customer Service,General,UK Legacy,Brand",2023-03-01,10,8,5,10,10,10,1,1
pilot,yes,352446793,10,,,2023-03-01,10,10,10,10,10,10,1,1
pilot,yes,352492337,8,Prompt response Swift delivery Good network Affordability,"Customer Service,General,Pricing,UK Legacy",2023-03-01,8,8,8,9,9,8,1,1
pilot,yes,353179998,4,"Operator was difficult to understand, call took over one to register and complete the process",,2023-03-01,,,,,,,1,1
pilot,yes,352427681,10,Very happy with Maria from customer service centre and Stephen the technician.Both were very helpful and understanding,"Customer Service,General,UK Legacy",2023-03-01,10,10,9,10,10,10,1,1
pilot,yes,353233951,10,,,2023-03-01,10,10,10,10,10,10,1,1
pilot,yes,353339471,9,,,2023-03-01,9,9,8,9,9,8,1,1
pilot,yes,352859006,9,Very helpful and polite and well informed,Customer Service,2023-03-01,9,8,8,9,10,7,1,1
pilot,yes,352943034,5,"The technicians and phone support team have been very nice, however the connection just isn't what we expected. The product is quite average.","Customer Service,Reliability GeneralTechnician,Technician",2023-03-01,6,6,3,7,7,4,1,1
pilot,yes,352879136,10,,,2023-03-01,7,7,6,7,7,5,1,1
pilot,yes,353163636,10,Good communication and very helpful,,2023-03-01,10,10,10,10,10,10,1,1
pilot,yes,353898981,10,"Good service, clear and concise",General,2023-03-01,10,10,10,10,10,10,1,1
pilot,yes,354158479,9,Helpful told me about deals,,2023-03-01,10,5,5,10,9,8,1,1
pilot,yes,354146413,8,Staff is very nice and patient for assisting me to choose the plan.,Customer Service,2023-03-01,8,8,8,8,8,8,1,1
pilot,yes,354144676,9,Guys who rang me was very pleasant and he explained exactly what he was going to be doing as I wasn't at home at the time.,Customer Service,2023-03-01,9,10,9,9,9,9,1,1
pilot,yes,353561313,9,Accommodated my request for preferred cable routing. Work carried out swiftly.,,2023-03-01,9,9,8,9,9,9,1,1
pilot,yes,354231997,10,,,2023-03-01,10,10,10,10,10,10,1,1
pilot,yes,354172157,10,I needed my SIM urgently and was told I will get it by Wednesday even though I called on Monday evening. I got my SIM on Wednesday as I was told I would.,General,2023-03-01,10,10,7,10,10,10,1,1
