GROUP,VOLT_FLAG,SURVEY_ID,SCORE,LTR_COMMENT,PRIMARY_REASON,MONTH,CONNECTION_TIME,SALES_PERSON_SAT,SALES_FRIENDLY_SAT,COMMINICATION_SAT,FIRST_BILL_SAT,AGENT_KNOWLEDGE,VOLT_FLAG_BINARY,TREATMENT_BINARY,LTR_COMMENT_CLEAN,SENTIMENT_SCORE,SENTIMENT_MAGNITUDE,topics_assigned,substantive_topics,num_topics_assigned
control,yes,352527696,10,"Spoke with several company people. My first contact was with steph who took extreme care to explain all the options available on a conversation that lasted over an hour. Many thanks steph. Following that I spoke with three more people as it became clear to my husband that the penalty fee for leaving BT put us in the invidious position, as pensioners, of not being able to proceed. I spoke with Ine who managed somehow to procure part of BT's despicable fee which finally allowed us to go ahead. Many thanks therefore to the people who helped.","Deepdive,Internet,Internet Service,Reliability GeneralUK Legacy,Customer Service,General,Pricing,UK Legacy",2023-03-01,10,10,5,10,10,10,1,0,"Spoke with several company people. My first contact was with steph who took extreme care to explain all the options available on a conversation that lasted over an hour. Many thanks steph. Following that I spoke with three more people as it became clear to my husband that the penalty fee for leaving BT put us in the invidious position, as pensioners, of not being able to proceed. I spoke with Ine who managed somehow to procure part of BT's despicable fee which finally allowed us to go ahead. Many thanks therefore to the people who helped.",0.30000001192092896,3.5,['2_contract_emails_centers_operators'],['Contract Issues and Call Center Problems'],1
control,,352411785,9,good but it is early days yet,,2023-03-01,10,0,10,10,10,8,0,0,good but it is early days yet,0.10000000149011612,0.10000000149011612,[],[],0
control,yes,351777915,10,they where nice and pleasent aswell,,2023-03-01,10,10,10,10,10,10,1,0,they where nice and pleasent aswell,0.8999999761581421,0.8999999761581421,"['0_helpful_friendly_staff_explained', '13_needed_friendly_contract_competence']","['Staff Helpfulness and Communication', 'Professional Service Standards']",2
control,yes,352441889,5,It is alright reasonably good,,2023-03-01,10,5,2,10,10,7,1,0,It is alright reasonably good,0.6000000238418579,0.6000000238418579,['9_price_reasonable_good_prices'],['Pricing and Value Proposition'],1
control,,352568431,10,,,2023-03-01,10,6,8,10,10,7,0,0,,,,[],[],0
control,,352538390,10,,,2023-03-01,10,10,10,10,10,9,0,0,,,,[],[],0
control,,352004478,8,On the phone was a helpful fella all my questions and got me up and running in very little time and better internet around my area,"Customer Service,Sales,UK Legacy,Deepdive",2023-03-01,9,9,8,9,10,7,0,0,On the phone was a helpful fella all my questions and got me up and running in very little time and better internet around my area,0.8999999761581421,0.8999999761581421,['5_phone_50_internet_number'],['Phone Support and Account Management'],1
control,yes,352157525,0,,,2023-03-01,0,0,0,0,0,0,1,0,,,,[],[],0
control,yes,351983488,10,Extremely helpful engineer on visit Jo 32725,"Customer Service,Technician",2023-03-01,10,10,10,10,10,10,1,0,Extremely helpful engineer on visit Jo 32725,0.8999999761581421,0.8999999761581421,['7_engineer_technician_mat_incredibly'],['Field Engineer Performance'],1
control,yes,352769116,10,"Dee, who took me through the ordering process, could not have been more helpful. She went over and above.","Customer Service,General,UK Legacy",2023-03-01,10,5,5,10,10,10,1,0,"Dee, who took me through the ordering process, could not have been more helpful. She went over and above.",0.800000011920929,1.7000000476837158,['11_agent_helpful_start_polite'],['Sales Agent Performance and Process'],1
control,yes,352894038,10,,,2023-03-01,10,10,10,10,10,10,1,0,,,,[],[],0
control,,352216698,10,Hood customer service,,2023-03-01,10,10,10,10,10,10,0,0,Hood customer service,0.0,0.0,['1_customer_service_good_excellent'],['Overall Customer Service Quality'],1
control,yes,352775536,10,,,2023-03-01,10,10,10,10,10,10,1,0,,,,[],[],0
control,yes,352898567,10,"Mat was brilliant, followed up with me when I was advailabe. Really professional and plesent to deal with.",Customer Service,2023-03-01,10,5,5,10,10,10,1,0,"Mat was brilliant, followed up with me when I was advailabe. Really professional and plesent to deal with.",0.8999999761581421,1.7999999523162842,['7_engineer_technician_mat_incredibly'],['Field Engineer Performance'],1
control,,352250385,10,"We have not been set up yet, but speaking to Ashley very informative and pleasant. On Saturday the chaps came a day did the road to house infrastructure, which was satisfactory. Today site management checked everything was installed satisfactory and we're we happy.","Customer Service,Sales,Technician",2023-03-01,10,10,10,10,10,10,0,0,"We have not been set up yet, but speaking to Ashley very informative and pleasant. On Saturday the chaps came a day did the road to house infrastructure, which was satisfactory. Today site management checked everything was installed satisfactory and we're we happy.",0.800000011920929,2.4000000953674316,"['3_installation_contact_experience_setup', '4_days_home_told_day']","['Installation Process and Setup Experience', 'Service Delivery and Scheduling Issues']",2
control,,351741926,10,,,2023-03-01,2,10,2,2,2,10,0,0,,,,[],[],0
control,,352865924,5,,,2023-03-01,3,10,2,3,3,5,0,0,,,,[],[],0
control,,352880898,10,They were friendly and easy to talk to. They understood what I wanted and happy to help.,,2023-03-01,9,9,8,9,9,9,0,0,They were friendly and easy to talk to. They understood what I wanted and happy to help.,0.8999999761581421,1.7999999523162842,"['0_helpful_friendly_staff_explained', '13_needed_friendly_contract_competence']","['Staff Helpfulness and Communication', 'Professional Service Standards']",2
control,yes,352939297,6,Tryed to get a phone,,2023-03-01,5,5,5,5,5,5,1,0,Tryed to get a phone,0.10000000149011612,0.10000000149011612,[],[],0
control,yes,352228322,10,Excellent customer service,"Customer Service,General,UK Legacy",2023-03-01,10,9,9,10,10,10,1,0,Excellent customer service,0.8999999761581421,0.8999999761581421,['1_customer_service_good_excellent'],['Overall Customer Service Quality'],1
control,yes,352792607,10,service was very good,,2023-03-01,8,10,8,,10,10,1,0,service was very good,0.800000011920929,0.800000011920929,[],[],0
control,yes,353115361,10,Professional service,"Customer Service,General,UK Legacy",2023-03-01,10,8,10,10,10,10,1,0,Professional service,0.8999999761581421,0.8999999761581421,"['0_helpful_friendly_staff_explained', '6_quick_efficient_service_coverage', '13_needed_friendly_contract_competence']","['Staff Helpfulness and Communication', 'Service Speed and Network Coverage', 'Professional Service Standards']",3
control,yes,352418693,10,So easy to deal with,Internet,2023-03-01,10,10,10,10,10,10,1,0,So easy to deal with,0.8999999761581421,0.8999999761581421,[],[],0
control,,352004288,1,"Higher speed than SKY.but connection disappointed.We have connected 3x TV,1 tablet ,3 mobile phones via WIFI but rubbish signal.Restarted router,lights are ok, WiFi poor.no good.Engineer was helpfull done his work correctly no complaint.","Mobile,Mobile Service,Reliability GeneralAlert,Equipment,General,Internet,Internet Service,Reliability GeneralUK Legacy,UK Legacy",2023-03-01,9,5,10,9,9,1,0,0,"Higher speed than SKY.but connection disappointed.We have connected 3x TV,1 tablet ,3 mobile phones via WIFI but rubbish signal.Restarted router,lights are ok, WiFi poor.no good.Engineer was helpfull done his work correctly no complaint.",0.4000000059604645,0.4000000059604645,['12_sky_wifi_18_3x'],['Competitor Comparisons (Sky)'],1
control,,352444022,0,"Very difficult to talk to anyone, very expensive, always an IT problem, too many calls, lots of mistakes took place with my name, dates leaving or moving in, misleading advertising in such that it appears cheaper than what it actually costs. Sorry if that is too negative, however this is an accurate reflection of company. You do however have fast and mostly reliable internet","Deepdive,General,Internet,Internet Service,Pricing,Reliability GeneralUK Legacy,UK Legacy",2023-03-01,0,4,10,1,7,7,0,0,"Very difficult to talk to anyone, very expensive, always an IT problem, too many calls, lots of mistakes took place with my name, dates leaving or moving in, misleading advertising in such that it appears cheaper than what it actually costs. Sorry if that is too negative, however this is an accurate reflection of company. You do however have fast and mostly reliable internet",-0.10000000149011612,1.2000000476837158,['5_phone_50_internet_number'],['Phone Support and Account Management'],1
control,,353070715,7,It was explained so I could understand what was being said to me thank u to the lady I spoke to,,2023-03-01,10,10,10,10,10,10,0,0,It was explained so I could understand what was being said to me thank u to the lady I spoke to,0.30000001192092896,0.30000001192092896,"['0_helpful_friendly_staff_explained', '13_needed_friendly_contract_competence']","['Staff Helpfulness and Communication', 'Professional Service Standards']",2
control,,353080849,9,Friendly and efficient help,,2023-03-01,8,9,8,8,8,9,0,0,Friendly and efficient help,0.8999999761581421,0.8999999761581421,['6_quick_efficient_service_coverage'],['Service Speed and Network Coverage'],1
control,yes,352459583,9,,,2023-03-01,,,,,,,1,0,,,,[],[],0
control,yes,353181450,10,"Because I've always had a good relationship with company,until I came across unhelpful customer service employee the rest is history.","Customer Service,General,UK Legacy",2023-03-01,10,5,5,10,10,5,1,0,"Because I've always had a good relationship with company,until I came across unhelpful customer service employee the rest is history.",-0.699999988079071,0.699999988079071,['1_customer_service_good_excellent'],['Overall Customer Service Quality'],1
control,yes,352967209,10,,,2023-03-01,10,10,5,5,10,10,1,0,,,,[],[],0
control,yes,352539627,10,Easy to join company. With the most friendly advisor,Customer Service,2023-03-01,10,10,10,10,10,10,1,0,Easy to join company. With the most friendly advisor,0.8999999761581421,1.7999999523162842,['0_helpful_friendly_staff_explained'],['Staff Helpfulness and Communication'],1
control,,352927079,9,,,2023-03-01,10,8,10,8,10,9,0,0,,,,[],[],0
control,yes,353168648,9,The advisor I spoke to was very helpful and explained things clearly also she was very friendly and really understood what I was looking for and how best too help me.,"Internet,Internet Service,UK Legacy,Customer Service,General",2023-03-01,10,8,9,10,10,9,1,0,The advisor I spoke to was very helpful and explained things clearly also she was very friendly and really understood what I was looking for and how best too help me.,0.8999999761581421,0.8999999761581421,['0_helpful_friendly_staff_explained'],['Staff Helpfulness and Communication'],1
control,,353252523,7,"Polite. Could have be more skilled in providing guidance, eg: What is the minimum amount of broadband mbps working from home and video conferencing requires, instead of pretending to know.","Customer Service,Deepdive,Test",2023-03-01,8,8,8,7,8,8,0,0,"Polite. Could have be more skilled in providing guidance, eg: What is the minimum amount of broadband mbps working from home and video conferencing requires, instead of pretending to know.",0.10000000149011612,1.600000023841858,"['0_helpful_friendly_staff_explained', '13_needed_friendly_contract_competence']","['Staff Helpfulness and Communication', 'Professional Service Standards']",2
control,,353234948,10,I was impressed with company but decided to stay with sky,"Customer Service,Technician,Brand,UK Legacy",2023-03-01,10,0,0,10,10,10,0,0,I was impressed with company but decided to stay with sky,0.10000000149011612,0.10000000149011612,['12_sky_wifi_18_3x'],['Competitor Comparisons (Sky)'],1
control,yes,352589388,0,I have had a bad experience with your customer services I am not proceeding with installation,"Customer Service,General,UK Legacy",2023-03-01,0,0,0,0,0,0,1,0,I have had a bad experience with your customer services I am not proceeding with installation,-0.699999988079071,0.699999988079071,['3_installation_contact_experience_setup'],['Installation Process and Setup Experience'],1
control,,353247075,9,The customer service for a new customer was excellent.,"Customer Service,General,Pricing,UK Legacy",2023-03-01,9,9,9,9,9,9,0,0,The customer service for a new customer was excellent.,0.800000011920929,0.800000011920929,['1_customer_service_good_excellent'],['Overall Customer Service Quality'],1
control,yes,352928048,10,,,2023-03-01,10,5,10,10,10,9,1,0,,,,[],[],0
control,yes,353526430,10,,,2023-03-01,10,10,10,10,10,10,1,0,,,,[],[],0
control,yes,353324695,5,"Asking me about the service company Media supply, BEFORE I am connected is somewhat pointless. The Customer Support staff were very helpful , but the online mechanisms gave me a headache and I would certainly NOT recommend that mechanism to get a company Media service. Time will tells as to whether my score will increase.","Customer Service,General,UK Legacy",2023-03-01,9,5,5,9,9,5,1,0,"Asking me about the service company Media supply, BEFORE I am connected is somewhat pointless. The Customer Support staff were very helpful , but the online mechanisms gave me a headache and I would certainly NOT recommend that mechanism to get a company Media service. Time will tells as to whether my score will increase.",-0.5,1.5,['10_media_company_recommend_friends'],['Installation Quality and Recommendations'],1
control,,353525697,9,Helpful advisor,"Customer Service,General,UK Legacy",2023-03-01,9,7,9,9,9,8,0,0,Helpful advisor,0.8999999761581421,0.8999999761581421,[],[],0
control,,353592969,10,"The chap who dealt with me was friendly, professional and efficient. All my questions were answered promptly and I feel reassured that I will get good service in future.","Customer Service,General,Technician",2023-03-01,10,,10,10,10,10,0,0,"The chap who dealt with me was friendly, professional and efficient. All my questions were answered promptly and I feel reassured that I will get good service in future.",0.8999999761581421,1.899999976158142,['0_helpful_friendly_staff_explained'],['Staff Helpfulness and Communication'],1
control,yes,353509943,10,,"Customer Service,General,UK Legacy",2023-03-01,10,10,10,10,10,10,1,0,,,,[],[],0
control,yes,353564966,4,"I ordered my package online which was meant to be an easy process, through the online chat system I was told if I wanted to change the delivery address to give company a quick call and this would be amended. This resulted in 3 hours on the phone with customer services being put through to different operators, on 2 occasions my whole order was processed again although I explained that I had already done all this online and just wanted to change the address. The operators where both trying to be helpful and I appreciate that but the process was very draining and 3 hours is a ridiculous amount of time.","Customer Service,Customer Service ¬_x001C_ Digital ¬_x001C_ WebChatGeneral,General Services,Processes/Journeys,Sales,UK Legacy",2023-03-01,2,6,5,2,8,7,1,0,"I ordered my package online which was meant to be an easy process, through the online chat system I was told if I wanted to change the delivery address to give company a quick call and this would be amended. This resulted in 3 hours on the phone with customer services being put through to different operators, on 2 occasions my whole order was processed again although I explained that I had already done all this online and just wanted to change the address. The operators where both trying to be helpful and I appreciate that but the process was very draining and 3 hours is a ridiculous amount of time.",-0.6000000238418579,2.0,['2_contract_emails_centers_operators'],['Contract Issues and Call Center Problems'],1
control,,352893991,0,Very bad,,2023-03-01,0,0,0,0,0,0,0,0,Very bad,-0.800000011920929,0.800000011920929,[],[],0
control,yes,353596420,10,"friendly and good customer service, plus a suitable product and easy to sign up.","Customer Service,General,UK Legacy",2023-03-01,10,10,10,10,10,10,1,0,"friendly and good customer service, plus a suitable product and easy to sign up.",0.8999999761581421,0.8999999761581421,"['1_customer_service_good_excellent', '6_quick_efficient_service_coverage']","['Overall Customer Service Quality', 'Service Speed and Network Coverage']",2
control,,353580490,10,Excellent on line service,"Customer Service,General",2023-03-01,10,10,10,10,10,10,0,0,Excellent on line service,0.8999999761581421,0.8999999761581421,"['1_customer_service_good_excellent', '9_price_reasonable_good_prices']","['Overall Customer Service Quality', 'Pricing and Value Proposition']",2
control,,353627863,4,Was promised a call back to change direct debit details but no call received,Billing,2023-03-01,5,8,0,5,5,8,0,0,Was promised a call back to change direct debit details but no call received,-0.800000011920929,0.800000011920929,['2_contract_emails_centers_operators'],['Contract Issues and Call Center Problems'],1
control,yes,352936385,10,,,2023-03-01,10,10,10,10,10,10,1,0,,,,[],[],0
control,yes,353658882,10,,,2023-03-01,10,10,10,10,10,10,1,0,,,,[],[],0
control,yes,353632198,7,,,2023-03-01,8,8,6,8,8,9,1,0,,,,[],[],0
control,yes,353634160,10,I'm extremely happy with how quickly you've got me up and running no messing about like Vodafone. I'd happily recommend you to anyone for a fast trouble free experience from start to finish thank you to all your team,"Brand,UK Legacy",2023-03-01,10,10,10,10,10,10,1,0,I'm extremely happy with how quickly you've got me up and running no messing about like Vodafone. I'd happily recommend you to anyone for a fast trouble free experience from start to finish thank you to all your team,0.8999999761581421,1.899999976158142,['12_sky_wifi_18_3x'],['Competitor Comparisons (Sky)'],1
control,,353618570,10,,,2023-03-01,10,10,10,10,10,10,0,0,,,,[],[],0
control,,353729853,10,Great service good price,"General,Pricing,UK Legacy",2023-03-01,10,10,10,10,10,10,0,0,Great service good price,0.8999999761581421,0.8999999761581421,['9_price_reasonable_good_prices'],['Pricing and Value Proposition'],1
control,yes,353139131,10,"Very efficient, friendly but proffessional experience from initial phone call to fitting. Thankyou",,2023-03-01,10,10,10,10,10,10,1,0,"Very efficient, friendly but proffessional experience from initial phone call to fitting. Thankyou",0.20000000298023224,0.5,['6_quick_efficient_service_coverage'],['Service Speed and Network Coverage'],1
control,yes,353745653,9,Friendly services,General,2023-03-01,9,9,9,9,9,9,1,0,Friendly services,0.8999999761581421,0.8999999761581421,[],[],0
control,,353733071,10,Simple process with very helpful staff.,"Customer Service,General,UK Legacy",2023-03-01,10,8,10,10,10,9,0,0,Simple process with very helpful staff.,0.8999999761581421,0.8999999761581421,['0_helpful_friendly_staff_explained'],['Staff Helpfulness and Communication'],1
control,,352933667,10,,,2023-03-01,10,10,8,10,10,10,0,0,,,,[],[],0
control,,353189538,0,,,2023-03-01,0,3,8,0,10,0,0,0,,,,[],[],0
control,yes,353189174,8,,,2023-03-01,7,6,7,6,8,7,1,0,,,,[],[],0
control,yes,353875127,10,Marco was very helpful,"Customer Service,General,UK Legacy",2023-03-01,10,10,10,10,10,10,1,0,Marco was very helpful,0.800000011920929,0.800000011920929,[],[],0
control,yes,353170542,10,,,2023-03-01,10,10,10,10,10,10,1,0,,,,[],[],0
control,yes,353648744,6,,,2023-03-01,6,,,,,6,1,0,,,,[],[],0
control,yes,353154871,10,,,2023-03-01,10,10,10,10,10,10,1,0,,,,[],[],0
control,yes,353721358,10,,,2023-03-01,,10,10,10,10,10,1,0,,,,[],[],0
control,yes,353146954,10,,,2023-03-01,10,10,10,10,10,10,1,0,,,,[],[],0
control,yes,353314492,0,"company Told me I had cable so was told to cancel sky on Tuesday as company was getting set up , company man turnt up and there¬""s no cable now have to wait more than 2 weeks with no internet, I have someone working from home that now can¬""t work and my daughter that is home schooled that now can¬""t do her lessons Thanks company I¬""m not even with you yet and I¬""m getting hassle¬¦!","Brand,UK Legacy",2023-03-01,0,0,0,0,6,0,1,0,"company Told me I had cable so was told to cancel sky on Tuesday as company was getting set up , company man turnt up and there's no cable now have to wait more than 2 weeks with no internet, I have someone working from home that now can't work and my daughter that is home schooled that now can't do her lessons Thanks company I'm not even with you yet and I'm getting hassle¬¦!",-0.800000011920929,0.800000011920929,['4_days_home_told_day'],['Service Delivery and Scheduling Issues'],1
control,,353911689,9,,,2023-03-01,9,8,,9,9,9,0,0,,,,[],[],0
control,,353324522,0,There was zero success support to get the service activated .it is almost 2 days without data and don't how many days more to go,,2023-03-01,0,0,5,0,3,0,0,0,There was zero success support to get the service activated .it is almost 2 days without data and don't how many days more to go,-0.699999988079071,0.699999988079071,['4_days_home_told_day'],['Service Delivery and Scheduling Issues'],1
control,,353163458,10,,,2023-03-01,6,7,8,6,6,6,0,0,,,,[],[],0
control,yes,353815664,10,Very good service. Made a complicated thing easy.,General,2023-03-01,10,10,9,10,10,7,1,0,Very good service. Made a complicated thing easy.,0.800000011920929,1.600000023841858,['6_quick_efficient_service_coverage'],['Service Speed and Network Coverage'],1
control,yes,353154649,0,indian call centres,,2023-03-01,10,0,0,10,10,5,1,0,indian call centres,0.0,0.0,[],[],0
control,yes,353813285,10,Excellent service,General,2023-03-01,10,10,10,10,10,10,1,0,Excellent service,0.8999999761581421,0.8999999761581421,[],[],0
control,,354149583,3,Confirmation procedure is strange Robot detection is pathetic Minute pictures American dialect! I am 77 and failing consistently to pass this fantastic test,,2023-03-01,8,8,8,8,8,8,0,0,Confirmation procedure is strange Robot detection is pathetic Minute pictures American dialect! I am 77 and failing consistently to pass this fantastic test,-0.10000000149011612,1.399999976158142,['7_engineer_technician_mat_incredibly'],['Field Engineer Performance'],1
control,,353938017,8,"i am a new customer and my contract was cancelled without notifying me, only because box did not arrive that i called to see what was happening. had to wait another 3 days for box to arrive.",Contract,2023-03-01,10,5,10,10,10,4,0,0,"i am a new customer and my contract was cancelled without notifying me, only because box did not arrive that i called to see what was happening. had to wait another 3 days for box to arrive.",-0.800000011920929,1.600000023841858,['2_contract_emails_centers_operators'],['Contract Issues and Call Center Problems'],1
control,yes,353558400,10,The agent Sally has been extremely helpful and went the extra mile,"Customer Service,General,UK Legacy",2023-03-01,10,9,10,10,10,10,1,0,The agent Sally has been extremely helpful and went the extra mile,0.8999999761581421,0.8999999761581421,['11_agent_helpful_start_polite'],['Sales Agent Performance and Process'],1
control,,354251357,8,Just felt treated better than with sky,Brand,2023-03-01,8,8,8,8,8,8,0,0,Just felt treated better than with sky,0.8999999761581421,0.8999999761581421,['12_sky_wifi_18_3x'],['Competitor Comparisons (Sky)'],1
control,yes,354219331,10,,,2023-03-01,10,10,10,10,,10,1,0,,,,[],[],0
control,,354213040,8,good customer service,"Customer Service,General,UK Legacy",2023-03-01,7,6,8,8,,8,0,0,good customer service,0.800000011920929,0.800000011920929,['1_customer_service_good_excellent'],['Overall Customer Service Quality'],1
control,yes,353570537,9,great service and good price,"General,Pricing,UK Legacy",2023-03-01,9,8,9,9,9,9,1,0,great service and good price,0.8999999761581421,0.8999999761581421,['9_price_reasonable_good_prices'],['Pricing and Value Proposition'],1
control,,353666457,10,"Polite, efficient installation thank you. Everything I would expect from company.",General,2023-03-01,10,10,10,10,10,10,0,0,"Polite, efficient installation thank you. Everything I would expect from company.",0.8999999761581421,1.7999999523162842,['3_installation_contact_experience_setup'],['Installation Process and Setup Experience'],1
control,yes,354150184,10,Fast service and coverage,,2023-03-01,10,10,10,10,10,10,1,0,Fast service and coverage,0.800000011920929,0.800000011920929,['6_quick_efficient_service_coverage'],['Service Speed and Network Coverage'],1
control,yes,353712479,10,Very helpful,,2023-03-01,10,10,10,10,10,10,1,0,Very helpful,0.8999999761581421,0.8999999761581421,[],[],0
control,yes,354284360,7,,,2023-03-01,10,10,10,10,10,7,1,0,,,,[],[],0
control,yes,353628729,9,Daughters organised my means of communication at distance for my return to live to England. They used you. All went smoothly and quickly.,Internet,2023-03-01,9,9,6,10,9,9,1,0,Daughters organised my means of communication at distance for my return to live to England. They used you. All went smoothly and quickly.,0.30000001192092896,1.899999976158142,"['0_helpful_friendly_staff_explained', '13_needed_friendly_contract_competence']","['Staff Helpfulness and Communication', 'Professional Service Standards']",2
control,,353621037,8,Engineers helpful with someone not familiar with technology,"Customer Service,Technician",2023-03-01,8,8,6,9,,8,0,0,Engineers helpful with someone not familiar with technology,0.699999988079071,0.699999988079071,['7_engineer_technician_mat_incredibly'],['Field Engineer Performance'],1
control,yes,353751132,0,"Absolutely awful sent me two HDMI leads no usb with plug for tele and box then had long winded messages to yourselves explaining they¬""d got it wrong then the woman said ok I¬""ll send a HDMI lead!!! I don¬""t need one I have two explained that again with another agent she apologised and I¬""ve come home to another HDMI!!! Lead seriously something wrong with people not doing their jobs properly absolutely shocking I¬""ve had to borrow a lead and plug, distributors not doing their job properly in packing, customer service not reading message properly then saying they¬""d got it right when clearly they haven¬""t, I¬""ve returned to company and was left to install everything myself and been charged a lot for my first bill it¬""s shocking","Pricing,Delivery and Installation",2023-03-01,8,3,5,8,10,5,1,0,"Absolutely awful sent me two HDMI leads no usb with plug for tele and box then had long winded messages to yourselves explaining they'd got it wrong then the woman said ok I'll send a HDMI lead!!! I don't need one I have two explained that again with another agent she apologised and I've come home to another HDMI!!! Lead seriously something wrong with people not doing their jobs properly absolutely shocking I've had to borrow a lead and plug, distributors not doing their job properly in packing, customer service not reading message properly then saying they'd got it right when clearly they haven't, I've returned to company and was left to install everything myself and been charged a lot for my first bill it's shocking",-0.6000000238418579,2.0,"['2_contract_emails_centers_operators', '4_days_home_told_day']","['Contract Issues and Call Center Problems', 'Service Delivery and Scheduling Issues']",2
control,yes,354233483,9,"My enquiry resolved, on time thought went through many unstackles",,2023-03-01,9,6,9,9,9,8,1,0,"My enquiry resolved, on time thought went through many unstackles",0.30000001192092896,0.30000001192092896,[],[],0
control,yes,353655428,9,,,2023-03-01,10,8,8,10,10,9,1,0,,,,[],[],0
control,yes,354147697,10,Really friendly and experienced staff,Customer Service,2023-03-01,10,10,10,10,10,10,1,0,Really friendly and experienced staff,0.8999999761581421,0.8999999761581421,['0_helpful_friendly_staff_explained'],['Staff Helpfulness and Communication'],1
control,yes,354250684,9,Clara was very helpful and extremely patient with all of my questions,"Customer Service,General,UK Legacy",2023-03-01,10,,9,10,10,10,1,0,Clara was very helpful and extremely patient with all of my questions,0.8999999761581421,0.8999999761581421,"['0_helpful_friendly_staff_explained', '11_agent_helpful_start_polite', '13_needed_friendly_contract_competence']","['Staff Helpfulness and Communication', 'Sales Agent Performance and Process', 'Professional Service Standards']",3
control,yes,354388883,9,,,2023-03-01,9,9,9,9,9,9,1,0,,,,[],[],0
control,yes,354411252,9,,,2023-03-01,8,8,9,8,8,8,1,0,,,,[],[],0
control,,353808557,10,,,2023-03-01,10,10,10,10,10,10,0,0,,,,[],[],0
